date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:12	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Mar%202024%2006:01:12%20GMT	https://sylvesterthecat.lol/robots.txt		(from )
01:01:12	215682/215682	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2006:01:12%20GMT	https://sylvesterthecat.lol/	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/index.html	(from )
01:01:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:12%20GMT	http://sylvesterthecat.lol/89def579c564d9e1d04f0fa2784c89d0.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/89def579c564d9e1d04f0fa2784c89d0.0.delayed	(from https://sylvesterthecat.lol/)
01:01:14	1020/1020	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:14%20GMT	https://sylvesterthecat.lol/89def579c564d9e1d04f0fa2784c89d0.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/89def579c564d9e1d04f0fa2784c89d0.png	(from https://sylvesterthecat.lol/)
01:01:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:14%20GMT	http://sylvesterthecat.lol/99b235ab0760ba6e51d9ea4b1bd51cdd.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/99b235ab0760ba6e51d9ea4b1bd51cdd.png	(from https://sylvesterthecat.lol/)
01:01:14	2759/2759	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:14%20GMT	https://sylvesterthecat.lol/99b235ab0760ba6e51d9ea4b1bd51cdd.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/99b235ab0760ba6e51d9ea4b1bd51cdd.png	(from https://sylvesterthecat.lol/)
01:01:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:14%20GMT	http://sylvesterthecat.lol/c43bec6898ee4545b904e7d978667247.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/c43bec6898ee4545b904e7d978667247.png	(from https://sylvesterthecat.lol/)
01:01:15	31275/31275	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:15%20GMT	https://sylvesterthecat.lol/c43bec6898ee4545b904e7d978667247.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/c43bec6898ee4545b904e7d978667247.png	(from https://sylvesterthecat.lol/)
01:01:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2006:01:16%20GMT	http://sylvesterthecat.lol/fonts/83e92e69079378329723bd898b58569c.woff	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/fonts/83e92e69079378329723bd898b58569c.woff	(from https://sylvesterthecat.lol/)
01:01:16	304091/304091	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2006:01:16%20GMT	https://sylvesterthecat.lol//67076ee6912b3e012bbd9daebaa55329.png	C:/Users/mafio/Desktop/WEB/yugipepe/sylvesterthecat.lol/67076ee6912b3e012bbd9daebaa55329.png	(from https://sylvesterthecat.lol/)
